start,eind,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
18-10-2014 9:30,18-10-2014 10:00,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening
18-10-2014 10:00,18-10-2014 10:30,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen
18-10-2014 10:30,18-10-2014 11:30,Sherowprogramma,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Sherowprogramma,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Sherowprogramma,Tocht van HIER naar DAAR,Sherowprogramma,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR
18-10-2014 11:30,18-10-2014 12:00,Sherowprogramma,Boerengolf,Boerengolf,Sherowprogramma,Eggdrop,Eggdrop,Tangram,Sherowprogramma,Tangram,Sherowprogramma,Radio,Radio,Boerengolf,Boerengolf,Boerengolf,Eggdrop,Eggdrop,Eggdrop,Jota,Jota,Jota,Joti,Joti,Joti
18-10-2014 12:00,18-10-2014 12:30,Sherowprogramma,Boerengolf,Boerengolf,Sherowprogramma,Eggdrop,Eggdrop,Radio,Sherowprogramma,Radio,Sherowprogramma,Tangram,Tangram,Boerengolf,Boerengolf,Boerengolf,Eggdrop,Eggdrop,Eggdrop,Joti,Joti,Joti,Jota,Jota,Jota
18-10-2014 12:30,18-10-2014 13:00,Sherowprogramma,Lunch,Lunch,Sherowprogramma,Lunch,Lunch,Lunch,Sherowprogramma,Lunch,Sherowprogramma,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch
18-10-2014 13:00,18-10-2014 13:40,Sherowprogramma,Jota,Jota,Sherowprogramma,Joti,Joti,Boerengolf,Sherowprogramma,Boerengolf,Sherowprogramma,Eggdrop,Eggdrop,Tangram,Tangram,Tangram,Radio,Radio,Radio,Boerengolf,Boerengolf,Boerengolf,Eggdrop,Eggdrop,Eggdrop
18-10-2014 13:40,18-10-2014 14:20,Sherowprogramma,Joti,Joti,Sherowprogramma,Jota,Jota,Boerengolf,Sherowprogramma,Boerengolf,Sherowprogramma,Eggdrop,Eggdrop,Radio,Radio,Radio,Tangram,Tangram,Tangram,Boerengolf,Boerengolf,Boerengolf,Eggdrop,Eggdrop,Eggdrop
18-10-2014 14:20,18-10-2014 14:50,Sherowprogramma,Radio,Radio,Sherowprogramma,Boerengolf,Boerengolf,Eggdrop,Sherowprogramma,Eggdrop,Sherowprogramma,Jota,Jota,Joti,Joti,Joti,Boerengolf,Boerengolf,Boerengolf,Eggdrop,Eggdrop,Eggdrop,Tangram,Tangram,Tangram
18-10-2014 14:50,18-10-2014 15:20,Sherowprogramma,Tangram,Tangram,Sherowprogramma,Boerengolf,Boerengolf,Eggdrop,Sherowprogramma,Eggdrop,Sherowprogramma,Joti,Joti,Jota,Jota,Jota,Boerengolf,Boerengolf,Boerengolf,Eggdrop,Eggdrop,Eggdrop,Radio,Radio,Radio
18-10-2014 15:20,18-10-2014 15:50,Sherowprogramma,Eggdrop,Eggdrop,Sherowprogramma,Tangram,Tangram,Joti,Sherowprogramma,Joti,Sherowprogramma,Boerengolf,Boerengolf,Eggdrop,Eggdrop,Eggdrop,Jota,Jota,Jota,Radio,Radio,Radio,Boerengolf,Boerengolf,Boerengolf
18-10-2014 15:50,18-10-2014 16:30,Sherowprogramma,Eggdrop,Eggdrop,Sherowprogramma,Radio,Radio,Jota,Sherowprogramma,Jota,Sherowprogramma,Boerengolf,Boerengolf,Eggdrop,Eggdrop,Eggdrop,Joti,Joti,Joti,Tangram,Tangram,Tangram,Boerengolf,Boerengolf,Boerengolf
18-10-2014 16:30,18-10-2014 17:30,Sherowprogramma,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Sherowprogramma,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Sherowprogramma,Tocht van DAAR naar HIER,Sherowprogramma,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER
18-10-2014 17:30,18-10-2014 18:00,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten
18-10-2014 18:00,18-10-2014 18:30,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak,Moment met eigen speltak
18-10-2014 18:30,18-10-2014 19:30,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1,Ticket-activiteit ronde 1
18-10-2014 19:30,18-10-2014 20:30,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2,Ticket-activiteit ronde 2
18-10-2014 20:30,18-10-2014 21:00,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT
18-10-2014 21:00,19-10-2014 0:00,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT
19-10-2014 0:00,19-10-2014 8:00,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen
19-10-2014 8:00,19-10-2014 8:30,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken
