,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
17-10-2015 09:30,17-10-2015 10:15,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening
17-10-2015 10:15,17-10-2015 10:45,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen,Spullen in tenten leggen
17-10-2015 10:45,17-10-2015 11:30,Sherowprogramma,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Sherowprogramma,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Sherowprogramma,Tocht van HIER naar DAAR,Sherowprogramma,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR
17-10-2015 11:30,17-10-2015 12:00,Sherowprogramma,Leipe Halli Galli,Leipe Halli Galli,Sherowprogramma,Muizen vissen,Muizen vissen,Escape-room,Sherowprogramma,Escape-room,Sherowprogramma,Radio,Radio,Leipe Halli Galli,Leipe Halli Galli,Leipe Halli Galli,Muizen vissen,Muizen vissen,Muizen vissen,Jota,Jota,Jota,Joti,Joti,Joti
17-10-2015 12:00,17-10-2015 12:30,Sherowprogramma,Leipe Halli Galli,Leipe Halli Galli,Sherowprogramma,Muizen vissen,Muizen vissen,Radio,Sherowprogramma,Radio,Sherowprogramma,Escape-room,Escape-room,Leipe Halli Galli,Leipe Halli Galli,Leipe Halli Galli,Muizen vissen,Muizen vissen,Muizen vissen,Joti,Joti,Joti,Jota,Jota,Jota
17-10-2015 12:30,17-10-2015 13:00,Sherowprogramma,Lunch,Lunch,Sherowprogramma,Lunch,Lunch,Lunch,Sherowprogramma,Lunch,Sherowprogramma,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch
17-10-2015 13:00,17-10-2015 13:40,Sherowprogramma,Jota,Jota,Sherowprogramma,Joti,Joti,Leipe Halli Galli,Sherowprogramma,Leipe Halli Galli,Sherowprogramma,Muizen vissen,Muizen vissen,Escape-room,Escape-room,Escape-room,Radio,Radio,Radio,Leipe Halli Galli,Leipe Halli Galli,Leipe Halli Galli,Muizen vissen,Muizen vissen,Muizen vissen
17-10-2015 13:40,17-10-2015 14:20,Sherowprogramma,Joti,Joti,Sherowprogramma,Jota,Jota,Leipe Halli Galli,Sherowprogramma,Leipe Halli Galli,Sherowprogramma,Muizen vissen,Muizen vissen,Radio,Radio,Radio,Escape-room,Escape-room,Escape-room,Leipe Halli Galli,Leipe Halli Galli,Leipe Halli Galli,Muizen vissen,Muizen vissen,Muizen vissen
17-10-2015 14:20,17-10-2015 14:50,Sherowprogramma,Radio,Radio,Sherowprogramma,Leipe Halli Galli,Leipe Halli Galli,Muizen vissen,Sherowprogramma,Muizen vissen,Sherowprogramma,Jota,Jota,Joti,Joti,Joti,Leipe Halli Galli,Leipe Halli Galli,Leipe Halli Galli,Muizen vissen,Muizen vissen,Muizen vissen,Escape-room,Escape-room,Escape-room
17-10-2015 14:50,17-10-2015 15:20,Sherowprogramma,Escape-room,Escape-room,Sherowprogramma,Leipe Halli Galli,Leipe Halli Galli,Muizen vissen,Sherowprogramma,Muizen vissen,Sherowprogramma,Joti,Joti,Jota,Jota,Jota,Leipe Halli Galli,Leipe Halli Galli,Leipe Halli Galli,Muizen vissen,Muizen vissen,Muizen vissen,Radio,Radio,Radio
