start,eind,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
15-10-2016 09:30:00,10/15/2016 10:00,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening
15-10-2016 10:00:00,10/15/2016 10:45,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen
15-10-2016 10:45:00,10/15/2016 11:30,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR,Tocht naar DAAR
15-10-2016 11:30:00,10/15/2016 12:00,Foetsie weg naar …,Tocht,Tocht,Foetsie weg naar …,Quattro Stationi,Quattro Stationi,Hoverball Shooting,Foetsie weg naar …,Hoverball Shooting,Foetsie weg naar …,Radio,Radio,Tocht,Tocht,Tocht,Quattro Stationi,Quattro Stationi,Quattro Stationi,Pipopipetti,Pipopipetti,Pipopipetti,Joti,Joti,Joti,Foetsie weg naar …,Foetsie weg naar …,Foetsie weg naar …
15-10-2016 12:00:00,10/15/2016 12:30,Foetsie weg naar …,Tocht,Tocht,Foetsie weg naar …,Quattro Stationi,Quattro Stationi,Radio,Foetsie weg naar …,Radio,Foetsie weg naar …,Hoverball Shooting,Hoverball Shooting,Tocht,Tocht,Tocht,Quattro Stationi,Quattro Stationi,Quattro Stationi,Joti,Joti,Joti,Pipopipetti,Pipopipetti,Pipopipetti,Foetsie weg naar …,Foetsie weg naar …,Foetsie weg naar …
15-10-2016 12:30:00,10/15/2016 13:00,Foetsie weg naar …,Lunch,Lunch,Foetsie weg naar …,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Foetsie weg naar …,Foetsie weg naar …,Foetsie weg naar …
15-10-2016 13:00:00,10/15/2016 13:40,Foetsie weg naar …,Pipopipetti,Pipopipetti,Foetsie weg naar …,Joti,Joti,Tocht,Foetsie weg naar …,Tocht,Foetsie weg naar …,Quattro Stationi,Quattro Stationi,Hoverball Shooting,Hoverball Shooting,Hoverball Shooting,Radio,Radio,Radio,Tocht,Tocht,Tocht,Quattro Stationi,Quattro Stationi,Quattro Stationi,Foetsie weg naar …,Foetsie weg naar …,Foetsie weg naar …
15-10-2016 13:40:00,10/15/2016 14:20,Foetsie weg naar …,Joti,Joti,Foetsie weg naar …,Pipopipetti,Pipopipetti,Tocht,Foetsie weg naar …,Tocht,Foetsie weg naar …,Quattro Stationi,Quattro Stationi,Radio,Radio,Radio,Hoverball Shooting,Hoverball Shooting,Hoverball Shooting,Tocht,Tocht,Tocht,Quattro Stationi,Quattro Stationi,Quattro Stationi,Foetsie weg naar …,Foetsie weg naar …,Foetsie weg naar …
15-10-2016 14:20:00,10/15/2016 14:50,Foetsie weg naar …,Radio,Radio,Foetsie weg naar …,Tocht,Tocht,Quattro Stationi,Foetsie weg naar …,Quattro Stationi,Foetsie weg naar …,Pipopipetti,Pipopipetti,Joti,Joti,Joti,Tocht,Tocht,Tocht,Quattro Stationi,Quattro Stationi,Quattro Stationi,Hoverball Shooting,Hoverball Shooting,Hoverball Shooting,Foetsie weg naar …,Foetsie weg naar …,Foetsie weg naar …
15-10-2016 14:50:00,10/15/2016 15:20,Foetsie weg naar …,Hoverball Shooting,Hoverball Shooting,Foetsie weg naar …,Tocht,Tocht,Quattro Stationi,Foetsie weg naar …,Quattro Stationi,Foetsie weg naar …,Joti,Joti,Pipopipetti,Pipopipetti,Pipopipetti,Tocht,Tocht,Tocht,Quattro Stationi,Quattro Stationi,Quattro Stationi,Radio,Radio,Radio,Foetsie weg naar …,Foetsie weg naar …,Foetsie weg naar …
