,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
01-10-2017 00:00:00,21-10-2017 09:30:00,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden
21-10-2017 09:30:00,21-10-2017 10:00:00,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening
21-10-2017 10:00:00,21-10-2017 10:30:00,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen
21-10-2017 10:30:00,21-10-2017 11:00:00,Tocht naar GINDER,Tocht naar GINDER,Tocht naar GINDER,Tocht naar GINDER,Tocht naar GINDER,Tocht naar GINDER,Tocht naar GINDER,Tocht naar GINDER,Tocht naar GINDER,Tocht naar GINDER,Tocht naar GINDER,Tocht naar GINDER,Tocht naar GINDER,Tocht naar GINDER,Tocht naar GINDER,Tocht naar GINDER,Tocht naar GINDER,Tocht naar GINDER,Tocht naar GINDER,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's
21-10-2017 11:00:00,21-10-2017 11:40:00,Highland-games,Highland-games,Highland-games,Ginder-Tinder,Ginder-Tinder,De Lama's,De Lama's,Parcours,Parcours,Parcours,JOTI,JOTI,Radio,Radio,Radio,Kubb,Kubb,Jongens tegen de meisjes,Jongens tegen de meisjes,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's
21-10-2017 11:40:00,21-10-2017 12:20:00,Ginder-Tinder,Ginder-Tinder,Ginder-Tinder,Highland-games,Highland-games,Parcours,Parcours,De Lama's,De Lama's,De Lama's,Radio,Radio,JOTI,JOTI,JOTI,Jongens tegen de meisjes,Jongens tegen de meisjes,Kubb,Kubb,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's
21-10-2017 12:20:00,21-10-2017 12:50:00,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's
21-10-2017 12:50:00,21-10-2017 13:30:00,Kubb,Kubb,Kubb,De Lama's,De Lama's,Jongens tegen de meisjes,Jongens tegen de meisjes,JOTI,JOTI,JOTI,Highland-games,Highland-games,Ginder-Tinder,Ginder-Tinder,Ginder-Tinder,Parcours,Parcours,Radio,Radio,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's
21-10-2017 13:30:00,21-10-2017 14:10:00,De Lama's,De Lama's,De Lama's,Kubb,Kubb,JOTI,JOTI,Jongens tegen de meisjes,Jongens tegen de meisjes,Jongens tegen de meisjes,Ginder-Tinder,Ginder-Tinder,Highland-games,Highland-games,Highland-games,Radio,Radio,Parcours,Parcours,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's
21-10-2017 14:10:00,21-10-2017 14:50:00,Parcours,Parcours,Parcours,Jongens tegen de meisjes,Jongens tegen de meisjes,Radio,Radio,Highland-games,Highland-games,Highland-games,Kubb,Kubb,De Lama's,De Lama's,De Lama's,JOTI,JOTI,Ginder-Tinder,Ginder-Tinder,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's
