,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
17-10-2015 9:30,17-10-2015 10:15,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening
17-10-2015 10:00,17-10-2015 10:40,Beverprogramma,Radio,Joti,Joti,Bosspel,Bosspel,Bosspel,Bosspel,Stormbaan,Stormbaan,Stormbaan,Stormbaan,Beverprogramma,Radio,Joti,Joti,Bosspel,Bosspel,Bosspel,Bosspel,TV,TV,TV,TV
17-10-2015 10:30,17-10-2015 11:05,Beverprogramma,Jota,Joti,Joti,Bosspel,Bosspel,Bosspel,Bosspel,Stormbaan,Stormbaan,Stormbaan,Stormbaan,Beverprogramma,Jota,Joti,Joti,Bosspel,Bosspel,Bosspel,Bosspel,TV,TV,TV,TV
17-10-2015 11:00,17-10-2015 11:40,Joti,Joti,Jota,Radio,Bosspel,Bosspel,Bosspel,Bosspel,TV,TV,TV,TV,Joti,Joti,Jota,Radio,Bosspel,Bosspel,Bosspel,Bosspel,Stormbaan,Stormbaan,Stormbaan,Stormbaan
17-10-2015 11:30,17-10-2015 12:05,Joti,Joti,Radio,Jota,Bosspel,Bosspel,Bosspel,Bosspel,TV,TV,TV,TV,Joti,Joti,Radio,Jota,Bosspel,Bosspel,Bosspel,Bosspel,Stormbaan,Stormbaan,Stormbaan,Stormbaan
17-10-2015 12:00,17-10-2015 12:30,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch
17-10-2015 12:30,17-10-2015 13:05,TV,TV,TV,TV,Jota,Radio,Joti,Joti,Bosspel,Bosspel,Bosspel,Bosspel,Stormbaan,Stormbaan,Stormbaan,Stormbaan,Jota,Radio,Joti,Joti,Bosspel,Bosspel,Bosspel,Bosspel
17-10-2015 13:00,17-10-2015 13:30,TV,TV,TV,TV,Radio,Jota,Joti,Joti,Bosspel,Bosspel,Bosspel,Bosspel,Stormbaan,Stormbaan,Stormbaan,Stormbaan,Radio,Jota,Joti,Joti,Bosspel,Bosspel,Bosspel,Bosspel
17-10-2015 13:30,17-10-2015 14:00,Stormbaan,Stormbaan,Stormbaan,Stormbaan,Joti,Joti,Jota,Radio,Bosspel,Bosspel,Bosspel,Bosspel,TV,TV,TV,TV,Joti,Joti,Jota,Radio,Bosspel,Bosspel,Bosspel,Bosspel
17-10-2015 14:00,17-10-2015 14:30,Stormbaan,Stormbaan,Stormbaan,Stormbaan,Joti,Joti,Radio,Jota,Bosspel,Bosspel,Bosspel,Bosspel,TV,TV,TV,TV,Joti,Joti,Radio,Jota,Bosspel,Bosspel,Bosspel,Bosspel
17-10-2015 14:30,17-10-2015 15:00,Bosspel,Bosspel,Bosspel,Bosspel,TV,TV,TV,TV,Jota,Radio,Joti,Joti,Bosspel,Bosspel,Bosspel,Bosspel,Stormbaan,Stormbaan,Stormbaan,Stormbaan,Jota,Radio,Joti,Joti
17-10-2015 15:00,17-10-2015 15:30,Bosspel,Bosspel,Bosspel,Bosspel,TV,TV,TV,TV,Radio,Jota,Joti,Joti,Bosspel,Bosspel,Bosspel,Bosspel,Stormbaan,Stormbaan,Stormbaan,Stormbaan,Radio,Jota,Joti,Joti
17-10-2015 15:30,17-10-2015 16:00,Bosspel,Bosspel,Bosspel,Bosspel,Stormbaan,Stormbaan,Stormbaan,Stormbaan,Joti,Joti,Jota,Radio,Bosspel,Bosspel,Bosspel,Bosspel,TV,TV,TV,TV,Joti,Joti,Jota,Radio
