start,eind,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
15-10-2016 09:30:00,15-10-2016 10:00:00,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening
15-10-2016 10:00:00,15-10-2016 10:30:00,Jota,Radio,Joti,Joti,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,Proefjes,Proefjes,Klimwand,Klimwand,Jota,Radio,Joti,Joti,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,TV,TV,TV,TV
15-10-2016 10:30:00,15-10-2016 11:00:00,Radio,Jota,Joti,Joti,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,Klimwand,Klimwand,Proefjes,Proefjes,Radio,Jota,Joti,Joti,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,TV,TV,TV,TV
15-10-2016 11:00:00,15-10-2016 11:30:00,Knutselen,Knutselen,Jota,Radio,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,TV,TV,TV,TV,Joti,Joti,Jota,Radio,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,Proefjes,Proefjes,Klimwand,Klimwand
15-10-2016 11:30:00,15-10-2016 12:00:00,Knutselen,Knutselen,Radio,Jota,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,TV,TV,TV,TV,Joti,Joti,Radio,Jota,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,Klimwand,Klimwand,Proefjes,Proefjes
15-10-2016 12:00:00,15-10-2016 12:30:00,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch
15-10-2016 12:30:00,15-10-2016 13:05:00,TV,TV,TV,TV,Jota,Radio,Joti,Joti,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,Proefjes,Proefjes,Klimwand,Klimwand,Jota,Radio,Joti,Joti,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht
15-10-2016 13:05:00,15-10-2016 13:30:00,TV,TV,TV,TV,Radio,Jota,Joti,Joti,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,Klimwand,Klimwand,Proefjes,Proefjes,Radio,Jota,Joti,Joti,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht
15-10-2016 13:30:00,15-10-2016 14:00:00,Proefjes,Proefjes,Klimwand,Klimwand,Joti,Joti,Jota,Radio,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,TV,TV,TV,TV,Joti,Joti,Jota,Radio,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht
15-10-2016 14:00:00,15-10-2016 14:30:00,Klimwand,Klimwand,Proefjes,Proefjes,Joti,Joti,Radio,Jota,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,TV,TV,TV,TV,Joti,Joti,Radio,Jota,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht
15-10-2016 14:30:00,15-10-2016 15:00:00,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,TV,TV,TV,TV,Jota,Radio,Joti,Joti,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,Proefjes,Proefjes,Klimwand,Klimwand,Jota,Radio,Joti,Joti
15-10-2016 15:00:00,15-10-2016 15:30:00,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,TV,TV,TV,TV,Radio,Jota,Joti,Joti,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,Klimwand,Klimwand,Proefjes,Proefjes,Radio,Jota,Joti,Joti
15-10-2016 15:30:00,15-10-2016 16:00:00,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,Proefjes,Proefjes,Klimwand,Klimwand,Joti,Joti,Jota,Radio,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,TV,TV,TV,TV,Joti,Joti,Jota,Radio
15-10-2016 16:00:00,15-10-2016 16:30:00,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,Klimwand,Klimwand,Proefjes,Proefjes,Joti,Joti,Radio,Jota,Vossenjacht,Vossenjacht,Vossenjacht,Vossenjacht,TV,TV,TV,TV,Joti,Joti,Radio,Jota
15-10-2016 16:30:00,15-10-2016 17:30:00,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten
15-10-2016 17:30:00,15-10-2016 18:00:00,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel
15-10-2016 18:00:00,15-10-2016 19:15:00,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel
15-10-2016 19:15:00,15-10-2016 20:30:00,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel
15-10-2016 20:30:00,15-10-2016 22:00:00,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur
15-10-2016 22:00:00,15-10-2016 23:00:00,"Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed"
