start,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
2013-10-19 09:30:00,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening
2013-10-19 10:00:00,Levend memorie,Levend memorie,TV,Joti,Jota,Jota,Jota,Radio,Radio,Radio,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel
2013-10-19 10:30:00,Levend memorie,Levend memorie,Joti,TV,Radio,Radio,Radio,Jota,Jota,Jota,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel
2013-10-19 11:00:00,TV,Joti,Levend memorie,Levend memorie,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Jota,Jota,Jota,Radio,Radio,Radio,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel
2013-10-19 11:30:00,Joti,TV,Levend memorie,Levend memorie,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Radio,Radio,Radio,Jota,Jota,Jota,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel
2013-10-19 12:00:00,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch
2013-10-19 12:30:00,Blinde geleide spel,Blinde geleide spel,Jota,Radio,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,TV,TV,TV,Joti,Joti,Joti,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Levend memorie
2013-10-19 13:00:00,Blinde geleide spel,Blinde geleide spel,Radio,Jota,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Joti,Joti,Joti,TV,TV,TV,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Levend memorie
2013-10-19 13:30:00,Jota,Radio,Blinde geleide spel,Blinde geleide spel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Levend memorie,TV,TV,TV,Joti,Joti,Joti
2013-10-19 14:00:00,Radio,Jota,Blinde geleide spel,Blinde geleide spel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Bosspel,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Joti,Joti,Joti,TV,TV,TV
2013-10-19 14:30:00,Bosspel,Bosspel,Bosspel,Bosspel,TV,TV,TV,Joti,Joti,Joti,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Jota,Jota,Jota,Radio,Radio,Radio,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel
2013-10-19 15:00:00,Bosspel,Bosspel,Bosspel,Bosspel,Joti,Joti,Joti,TV,TV,TV,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Radio,Radio,Radio,Jota,Jota,Jota,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel
2013-10-19 15:30:00,Bosspel,Bosspel,Bosspel,Bosspel,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Levend memorie,TV,TV,TV,Joti,Joti,Joti,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Jota,Jota,Jota,Radio,Radio,Radio
2013-10-19 16:00:00,Bosspel,Bosspel,Bosspel,Bosspel,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Levend memorie,Joti,Joti,Joti,TV,TV,TV,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Blinde geleide spel,Radio,Radio,Radio,Jota,Jota,Jota
2013-10-19 16:30:00,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten
2013-10-19 17:30:00,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen,Slaapspullen klaarleggen
2013-10-19 18:00:00,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma
2013-10-19 19:00:00,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel
2013-10-19 21:30:00,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken,Drinken
2013-10-19 22:00:00,"Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed"
2013-10-19 23:00:00,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen
2013-10-20 08:00:00,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan
2013-10-20 08:30:00,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt
2013-10-20 09:00:00,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen
2013-10-20 09:30:00,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR
2013-10-20 10:30:00,,,,,Levend kwartet,Joti,Radio,Levend kwartet,De grote ontknoping,Jota,Levend kwartet,Joti,Radio,Levend kwartet,De grote ontknoping,Jota,Levend kwartet,Joti,Radio,Levend kwartet,De grote ontknoping,Jota,Levend kwartet,Joti,Radio,Levend kwartet,De grote ontknoping,Jota
2013-10-20 11:00:00,,,,,Levend kwartet,De grote ontknoping,Jota,Levend kwartet,Joti,Radio,Levend kwartet,De grote ontknoping,Jota,Levend kwartet,Joti,Radio,Levend kwartet,De grote ontknoping,Jota,Levend kwartet,Joti,Radio,Levend kwartet,De grote ontknoping,Jota,Levend kwartet,Joti,Radio
2013-10-20 11:30:00,,,,,Radio,Levend kwartet,Joti,Jota,Levend kwartet,De grote ontknoping,Radio,Levend kwartet,Joti,Jota,Levend kwartet,De grote ontknoping,Radio,Levend kwartet,Joti,Jota,Levend kwartet,De grote ontknoping,Radio,Levend kwartet,Joti,Jota,Levend kwartet,De grote ontknoping
