,,"Grote speltakken",,,,,,,
"van","tot","Zaterdag",,,,,,"van","tot"
20-10-2012 9:30,20-10-2012 10:00,"Opening","Opening","Opening","Opening","Opening","Opening",9:30,10:00
20-10-2012 10:00,20-10-2012 10:30,"Tenten opzetten","Tenten opzetten","Tenten opzetten","Tenten opzetten","Tenten opzetten","Tenten opzetten",10:00,10:30
20-10-2012 10:30,20-10-2012 11:00,"Tenten opzetten","Tenten opzetten","Tenten opzetten","Tenten opzetten","Tenten opzetten","Tenten opzetten",10:30,11:00
20-10-2012 11:00,20-10-2012 11:30,"Tenten opzetten","Tenten opzetten","Tenten opzetten","Tenten opzetten","Tenten opzetten","Tenten opzetten",11:00,11:30
20-10-2012 11:30,20-10-2012 12:00,"Tocht","Tocht","Tocht","Tocht","Tocht","Tocht",11:30,12:00
20-10-2012 12:00,20-10-2012 12:30,"Lunch","Lunch","Lunch","Lunch","Lunch","Lunch",12:00,12:30
,,"Joti","Radio","Angry Birds","Jota","Scotland Yard","Parcours",,
20-10-2012 12:30,20-10-2012 13:00,"22 23 24","10 11 12","1 2 3 13 14 15","19 20 21","4 5 6 16 17 18","7 8 9",12:30,13:00
20-10-2012 13:00,20-10-2012 13:30,"19 20 21","7 8 9",,"22 23 24",,"10 11 12",13:00,13:30
20-10-2012 13:30,20-10-2012 14:00,"4 5 6","16 17 18","7 8 9 19 20 21","1 2 3","10 11 12 22 23 24","13 14 15",13:30,14:00
20-10-2012 14:00,20-10-2012 14:30,"1 2 3","13 14 15",,"4 5 6",,"16 17 18",14:00,14:30
20-10-2012 14:30,20-10-2012 15:00,"13 14 15","1 2 3","4 5 6 16 17 18","10 11 12","7 8 9 19 20 21","22 23 24",14:30,15:00
20-10-2012 15:00,20-10-2012 15:30,"10 11 12","22 23 24",,"13 14 15",,"1 2 3",15:00,15:30
20-10-2012 15:30,20-10-2012 16:00,"7 8 9","19 20 21","10 11 12 22 23 24","16 17 18","1 2 3 13 14 15","4 5 6",15:30,16:00
