,,Grote speltakken,,,,,,,,
van,tot,Zaterdag,,,,,,,van,tot
30-12-1899 09:30,30-12-1899 10:00,Opening,Opening,Opening,Opening,Opening,Opening,Opening,9:30,10:00
30-12-1899 10:00,30-12-1899 10:30,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,10:00,10:30
30-12-1899 10:30,30-12-1899 11:00,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Sherow programma,10:30,11:00
30-12-1899 11:00,30-12-1899 11:30,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Sherow programma,11:00,11:30
,,Joti,Radio,Survival,Jota,Reuze ballen,Geheimschrift,Sherow programma,,
30-12-1899 11:30,30-12-1899 12:00,22 23 24,10 11 12,1 2 3 13 14 15,19 20 21,4 5 6 16 17 18,7 8 9,Sherow programma,11:30,12:00
30-12-1899 12:00,30-12-1899 12:30,19 20 21,7 8 9,,22 23 24,,10 11 12,Sherow programma,12:00,12:30
30-12-1899 12:30,30-12-1899 13:00,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Sherow programma,12:30,13:00
30-12-1899 13:00,30-12-1899 13:40,4 5 6,16 17 18,7 8 9 19 20 21,1 2 3,10 11 12 22 23 24,13 14 15,Sherow programma,13:00,13:40
30-12-1899 13:40,30-12-1899 14:20,1 2 3,13 14 15,,4 5 6,,16 17 18,Sherow programma,13:40,14:20
30-12-1899 14:20,30-12-1899 14:50,13 14 15,1 2 3,4 5 6 16 17 18,10 11 12,7 8 9 19 20 21,22 23 24,Sherow programma,14:20,14:50
30-12-1899 14:50,30-12-1899 15:20,10 11 12,22 23 24,,13 14 15,,1 2 3,Sherow programma,14:50,15:20
