,,Grote speltakken,,,,,,,,
van,tot,Zaterdag,,,,,,,van,tot
9:30,10:00,Opening,Opening,Opening,Opening,Opening,Opening,Opening,9:30,10:00
10:00,10:30,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,10:00,10:30
10:30,11:00,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,1 4 8 10,10:30,11:00
11:00,11:30,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,1 4 8 10,11:00,11:30
,,Joti,Radio,Survival,Jota,Reuze ballen,Geheimschrift,Sherow programma,,
11:30,12:00,22 23 24,11 12,2 3 13 14 15,19 20 21, 5 6 16 17 18,7 9,1 4 8 10,11:30,12:00
12:00,12:30,19 20 21,7 9,2 3 13 14 15,22 23 24,,11 12,1 4 8 10,12:00,12:30
12:30,13:00,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,1 4 8 10,12:30,13:00
13:00,13:40,5 6,16 17 18,7 9 19 20 21,2 3,11 12 22 23 24,13 14 15,1 4 8 10,13:00,13:40
13:40,14:20,2 3,13 14 15,7 9 19 20 21,5 6,11 12 22 23 24,16 17 18,1 4 8 10,13:40,14:20
14:20,14:50,13 14 15,2 3,5 6 16 17 18,11 12,7 9 19 20 21,22 23 24,1 4 8 10,14:20,14:50
14:50,15:20,11 12,22 23 24,5 6 16 17 18,13 14 15,7 9 19 20 21,2 3,1 4 8 10,14:50,15:20
15:20,15:50,7 9,19 20 21,11 12 22 23 24,16 17 18,2 3 13 14 15, 5 6,1 4 8 10,15:20,15:50
15:50,16:30,16 17 18,5 6,11 12 22 23 24,7 9,2 3 13 14 15,19 20 21,1 4 8 10,15:50,16:30
